-1566,256,134,0,-78,42,-14,-21,2,-3,10,-1,-3542,985,903,-279,15,1308
-1096,-259,281,140,486,337,-16,2,0,0,4,-19,-3150,-585,-2,542,655,813
-1899,-88,188,18,11,-351,-5,6,16,2,17,-9,-4943,85,1168,-150,-407,1107
-1102,-258,-215,-175,-118,-17,9,0,9,-6,13,-8,-2305,-639,1613,545,-606,76
-1713,-441,-58,111,86,105,-6,-2,8,-8,21,-11,-3927,-839,468,-7,613,994
-1260,71,195,-32,159,212,142,153,65,117,-51,-49,-3255,565,-6,176,219,1350
-1622,1447,-349,165,-99,762,-2,1,12,-13,10,11,-3887,916,-852,14,-1574,410
-1636,158,-60,-101,-100,42,2,-1,20,-5,13,-8,-3981,-42,318,347,48,1026
-1913,-401,405,-66,186,381,-7,-5,9,-10,9,-5,-4344,376,95,341,367,2040
-1172,144,-235,17,-184,-90,-10,3,17,-2,-6,-8,-2739,-1046,58,-353,952,483
-1477,78,-85,56,-95,64,58,-110,-158,0,62,45,-3488,-203,-216,383,420,854
-1559,-725,28,83,413,320,47,-4,-115,49,-1,4,-3326,-1524,817,269,914,498
-1320,5,-46,66,-5,271,7,-13,10,-13,-12,-5,-2982,-379,-285,-41,923,784
-1006,-613,-139,-103,-260,-262,1,-8,10,0,19,-3,-1424,-1265,1449,840,-37,-265
-1540,-216,-229,76,16,-190,8,17,12,-3,-8,0,-3614,-633,421,218,-195,415
-1455,-174,-169,155,50,-141,-11,-3,14,0,15,4,-2895,-731,1181,709,209,439
-1635,284,-87,170,-85,415,0,0,18,-13,6,2,-4189,144,313,166,217,1424
-1213,-163,-80,-40,138,-486,-5,4,5,-2,15,8,-3089,-1305,515,-188,558,-271
-1202,-733,512,268,408,-122,-4,-14,1,0,8,-19,-2337,-1427,2002,1103,-324,325
-1268,75,-283,-88,-117,-212,4,-1,12,-5,4,-9,-3313,153,784,277,-627,99
-1237,824,13,35,-221,-22,0,12,17,-2,11,1,-3860,2315,294,-1377,-665,-313
-1228,-518,-404,94,-176,-154,-6,0,2,3,20,-3,-2619,-1405,587,-549,-33,270
-1199,-279,35,380,503,329,-2,-6,4,-12,2,-17,-3229,-142,-400,1036,691,1375
-1223,548,172,-109,60,8,-6,4,5,-15,-4,-4,-4118,1472,59,-132,341,401
-1072,380,327,-131,-176,107,2,7,2,-21,3,-1,-2295,1903,1111,-475,-20,1407
-1007,-876,-459,7,-99,-378,-4,-6,8,10,18,2,-1909,-1467,1324,638,-1378,-347
-957,-1002,-369,-272,199,-25,-8,-11,-3,1,14,-5,-1798,-2272,1388,101,1047,-812
-1231,999,305,-32,53,117,-11,-7,-10,-6,5,-2,-3803,2916,-91,-684,-305,-244
-1495,-256,-150,31,191,233,-10,6,3,-8,14,-7,-2846,-1023,520,-549,526,552
-1731,-615,140,21,127,668,-13,-1,0,-18,11,-1,-4107,-1237,907,-528,586,1123
-1920,-25,349,70,25,204,-1,2,-2,4,14,37,-4278,-44,322,284,263,1343
-1276,-259,-177,-142,149,0,-16,0,3,-4,14,2,-2779,-1134,482,-501,642,146
-1547,-352,-172,-28,1,-253,0,0,11,-4,13,-17,-3364,-577,913,262,-250,420
-1445,355,-70,143,-172,319,5,-2,11,-15,12,2,-3929,-140,315,220,-303,791
-734,-470,170,-61,-249,-110,9,0,12,0,20,0,-1791,-1576,1389,418,-296,-858
-2158,-1048,703,-100,160,41,-14,-8,14,-10,7,-12,-5365,79,251,510,530,2419
-968,-1190,-332,254,186,41,0,-14,-3,-7,3,-7,-1163,-2420,1123,837,481,-788
-1039,-607,-349,-38,283,-51,-12,-7,3,-1,7,0,-2069,-1761,743,31,948,-383
-1111,805,323,74,-256,169,3,0,-3,-18,12,0,-3121,3108,1,-1722,-1215,-263
-1126,87,-143,193,4,-47,56,12,10,22,61,12,-3012,-224,220,306,-515,74
-1796,-832,120,4,253,245,-6,-11,5,-10,15,-14,-4074,-1161,1258,596,440,609
-1140,-302,-646,291,-38,-101,-9,0,-5,-1,23,2,-2610,-1703,727,-209,472,17
-936,-548,-8,-156,-251,-69,6,-6,-4,-1,22,13,-1213,-872,1889,749,-372,-239
-1407,461,766,252,111,-105,0,9,5,-20,-5,-13,-4687,1734,828,-907,-148,951
-579,-576,-580,-227,-285,-262,0,-9,7,0,15,10,-1175,-2128,1162,308,-1201,-902
-1098,970,331,66,-460,162,-1,0,0,-11,5,0,-2862,3247,-54,-1689,-1589,-439
-982,763,164,-221,-247,244,-66,65,69,-64,18,-7,-2882,2654,259,-1369,-396,-145
-1377,578,-64,-85,-153,-58,6,7,19,-5,5,-3,-3937,946,218,-524,-659,-436
-771,-721,-463,-182,-216,-163,6,-9,3,-7,11,-2,-1537,-2012,1027,-205,-41,-274
-1052,1009,380,220,-54,161,-11,2,-10,-13,4,-5,-2900,4347,159,-906,-1133,-542
-2180,-859,702,9,149,-297,-6,-10,21,-8,3,-9,-5019,-969,974,268,696,987
-955,261,-213,-226,-107,-337,-2,8,14,-8,-9,-10,-3165,-1126,610,-303,-138,19
-845,-468,-117,113,375,141,-19,-6,0,0,0,-3,-1782,-1816,-85,-421,1623,-210
-2052,-482,709,49,68,541,-12,-2,13,-17,4,-7,-5483,-252,479,372,400,2096
-326,454,-1129,-411,-367,-637,-15,-13,0,7,1,9,-198,-1527,-1586,-1492,-1416,-1144
-1036,-675,-466,-187,115,115,1,-7,-1,-5,18,-8,-1992,-1857,814,-484,185,-336
-1172,841,335,289,-134,329,-4,-4,-10,-13,9,-5,-3009,3778,232,-1106,-1872,-377
-789,259,84,83,-186,-111,-6,8,4,-15,1,6,-2867,1304,-494,810,-693,33
-2040,-346,668,4,-55,178,-6,3,15,-9,1,-18,-5525,-500,603,165,410,1954
-1063,930,293,-43,-522,143,5,3,-2,9,-22,18,-2501,3032,-702,-1158,-1811,-423
-705,-686,-469,535,316,61,7,-7,6,-6,-6,-14,-1198,-1737,-1122,1859,270,-554
